name,class,RNA,Protein,reg_group
ABRAXAS2,Amp,0.4751413774965516,0.5806199743656513,Compensated
ABRAXAS2,CNLOH,0.5046760867350616,1.014861436995498,Compensated
ABRAXAS2,del,0.7641256106172962,0.5298033139395099,Compensated
ABT1,Amp,-0.23866427157771164,0.39854440924098394,Prot-comp.
ABT1,CNLOH,-0.08097320370511565,0.3283221200588319,Intermediate/Other
ABT1,del,0.7552618862011422,0.022336307655193233,Intermediate/Other
ABTB2,Amp,0.38472308962116586,-0.2690527325349885,RNA-comp.
ABTB2,CNLOH,-1.2306160246002065,0.20994174486669406,Prot-comp.
ACAA1,Amp,0.1295080619188987,0.3272823225918887,Intermediate/Other
ACAA1,CNLOH,0.15775620159716283,-0.06583041763947867,Intermediate/Other
ACAA1,del,-0.43021264090117983,-0.01087794218680338,Intermediate/Other
ACAA2,Amp,0.2582686767678515,1.8514152251698408,Compensated
ACAA2,CNLOH,0.12607462551519966,0.5336161916364871,Intermediate/Other
ACAA2,del,-0.22582825505059945,-0.0020397384619275094,Intermediate/Other
ACACA,Amp,0.004798185825676093,0.48786641089020194,Intermediate/Other
ACACA,CNLOH,0.346255668109774,-0.06534955985873443,Intermediate/Other
ACACA,del,0.378736673707904,-0.25302128834810467,RNA-comp.
ACAD10,Amp,0.9006125199438784,0.6111025178564289,Compensated
ACAD10,CNLOH,0.28855753456000427,0.3772510864270303,Compensated
ACAD11,Amp,0.764997856326656,0.6437693001820856,Compensated
ACAD11,CNLOH,-1.1737798214199449,-0.5840960481612223,Hyper-responders
ACAD11,del,1.4298611595486728,-0.745547254176899,RNA-comp.
ACAD8,Amp,0.3802848905382954,0.29206270890703595,Compensated
ACAD8,CNLOH,-0.3897379227056449,-0.9153713676802112,Hyper-responders
ACAD9,Amp,0.3615561874353474,0.5575036782181049,Compensated
ACAD9,CNLOH,-0.3623758527967492,-0.746656847146712,Hyper-responders
ACADM,Amp,0.13250501323981345,0.13749364431595706,Intermediate/Other
ACADM,CNLOH,0.017754037771061302,0.35636432292767234,Intermediate/Other
ACADM,del,0.4168187376202619,0.3858562713081698,Compensated
ACADS,Amp,0.4419968554788189,0.18275549507463512,Compensated
ACADS,CNLOH,0.21925891903852435,-0.38237455145212607,RNA-comp.
ACADSB,Amp,-0.06177383850707574,0.40510487905962267,Intermediate/Other
ACADSB,CNLOH,-0.1422012206398927,0.6253312790263418,Intermediate/Other
ACADSB,del,1.11157061411393,1.3052562471931228,Compensated
ACADVL,Amp,-1.1525312097332907,0.9972554248173606,Prot-comp.
ACADVL,CNLOH,0.953867888891192,-0.8843838110641933,RNA-comp.
ACADVL,del,1.6161803137658644,-1.14628439789589,RNA-comp.
ACAP2,Amp,0.5851336959246978,0.5532456522487442,Compensated
